code,description_1,description_2,description_3,description_4,description_5
001,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera,,
0010,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera,Cholera due to vibrio cholerae,
0011,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera,Cholera due to vibrio cholerae el tor,
0019,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera,"Cholera, unspecified",
002,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,,
0020,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,Typhoid fever,
0021,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,Paratyphoid fever A,
0022,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,Paratyphoid fever B,
0023,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,Paratyphoid fever C,
0029,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,"Paratyphoid fever, unspecified",
003,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,,
0030,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Salmonella gastroenteritis,
0031,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Salmonella septicemia,
0032,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Localized salmonella infections,
00320,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Localized salmonella infections,"Localized salmonella infection, unspecified"
00321,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Localized salmonella infections,Salmonella meningitis
00322,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Localized salmonella infections,Salmonella pneumonia
00323,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Localized salmonella infections,Salmonella arthritis
00324,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Localized salmonella infections,Salmonella osteomyelitis
00329,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Localized salmonella infections,Other localized salmonella infections
0038,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,Other specified salmonella infections,
0039,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,"Salmonella infection, unspecified",
004,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,,
0040,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,Shigella dysenteriae,
