code,description_1,description_2,description_3,description_4
00,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",,
000,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Therapeutic Ultrasound,
0001,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Therapeutic Ultrasound,Therapeutic Ultrasound Of Vessels Of Head And Neck
0002,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Therapeutic Ultrasound,Therapeutic Ultrasound Of Heart
0003,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Therapeutic Ultrasound,Therapeutic Ultrasound Of Peripheral Vascular Vessels
0009,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Therapeutic Ultrasound,Other Therapeutic Ultrasound
001,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,
0010,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Implantation Of Chemotherapeutic Agent
0011,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Infusion Of Drotrecogin Alfa (Activated)
0012,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Administration Of Inhaled Nitric Oxide
0013,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Injection Or Infusion Of Nesiritide
0014,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Injection Or Infusion Of Oxazolidinone Class Of Antibiotics
0015,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,High-Dose Infusion Interleukin-2 [Il-2]
0016,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Pressurized Treatment Of Venous Bypass Graft [Conduit] With Pharmaceutical Substance
0017,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Infusion Of Vasopressor Agent
0018,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Infusion Of Immunosuppressive Antibody Therapy
0019,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Pharmaceuticals,Disruption Of Blood Brain Barrier Via Infusion [Bbbd]
002,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,
0021,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,Intravascular Imaging Of Extracranial Cerebral Vessels
0022,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,Intravascular Imaging Of Intrathoracic Vessels
0023,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,Intravascular Imaging Of Peripheral Vessels
0024,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,Intravascular Imaging Of Coronary Vessels
0025,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,Intravascular Imaging Of Renal Vessels
0028,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,"Intravascular Imaging, Other Specified Vessel(s)"
0029,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Intravascular Imaging Of Blood Vessels,"Intravascular Imaging, Unspecified Vessel(s)"
003,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Computer Assisted Surgery (Cas),
0031,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Computer Assisted Surgery (Cas),Computer Assisted Surgery With Ct/Cta
0032,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Computer Assisted Surgery (Cas),Computer Assisted Surgery With Mr/Mra
0033,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Computer Assisted Surgery (Cas),Computer Assisted Surgery With Fluoroscopy
0034,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Computer Assisted Surgery (Cas),Imageless Computer Assisted Surgery
0035,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Computer Assisted Surgery (Cas),Computer Assisted Surgery With Multiple Datasets
0039,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Computer Assisted Surgery (Cas),Other Computer Assisted Surgery
004,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,
0040,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Procedure On Single Vessel
0041,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Procedure On Two Vessels
0042,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Procedure On Three Vessels
0043,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Procedure On Four Or More Vessels
0044,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Procedure On Vessel Bifurcation
0045,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Insertion Of One Vascular Stent
0046,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Insertion Of Two Vascular Stents
0047,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Insertion Of Three Vascular Stents
0048,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Insertion Of Four Or More Vascular Stents
0049,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Adjunct Vascular System Procedures,Supersaturated Oxygen Therapy
005,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,
0050,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,"Implantation Of Cardiac Resynchronization Pacemaker Without Mention Of Defibrillation, Total System [Crt-P]"
